iter	Logloss
0	0.6913773252
1	0.6893977106
2	0.6873273421
3	0.6855680081
4	0.6836019569
5	0.6821285902
6	0.6806761012
7	0.6791580676
8	0.6777025251
9	0.6763818352
10	0.6747847648
11	0.673128896
12	0.6715770605
13	0.6702254802
14	0.6691095903
15	0.6678045941
16	0.6662996269
17	0.6652547494
18	0.6643888944
19	0.6632693828
20	0.6620966119
21	0.6610525156
22	0.6598893313
23	0.6589825021
24	0.6579499808
25	0.6569931588
26	0.6559210125
27	0.6549992707
28	0.6540949269
29	0.653121275
30	0.6521697079
31	0.6516508908
32	0.6507209115
33	0.6498855208
34	0.649066392
35	0.648115606
36	0.6473662825
37	0.6465455203
38	0.6457579211
39	0.6450964399
40	0.6446744128
41	0.6440012146
42	0.6438998088
43	0.6431680253
44	0.6424699727
45	0.6416764794
46	0.6410274254
47	0.6403862539
48	0.6396959417
49	0.6390979457
50	0.6383134709
51	0.6376063998
52	0.6372144819
53	0.6366970851
54	0.6361263579
55	0.6355799169
56	0.6350584014
57	0.6350215459
58	0.6348636852
59	0.6342273424
60	0.6338557342
61	0.6332600816
62	0.6326854487
63	0.6319714893
64	0.6315888032
65	0.6311914884
66	0.6310314263
67	0.6305243973
68	0.6299903125
69	0.6294227098
70	0.6291477495
71	0.628791764
72	0.6282811134
73	0.6277830319
74	0.627322161
75	0.6268850792
76	0.6264613478
77	0.6262875803
78	0.6258771283
79	0.6255925103
80	0.62533438
81	0.6250082197
82	0.6244941604
83	0.6240604163
84	0.6236739664
85	0.6232694084
86	0.6228292021
87	0.622384238
88	0.6216798653
89	0.6213355968
90	0.6211348446
91	0.6207485368
92	0.6204020669
93	0.6202425729
94	0.6201375455
95	0.6200528986
96	0.6196873974
97	0.6192527301
98	0.6187333449
99	0.6183261594
100	0.6181897445
101	0.6178677029
102	0.6175002844
103	0.6170120737
104	0.6167548665
105	0.6164809714
106	0.6160862841
107	0.6158620978
108	0.615470748
109	0.6150053323
110	0.6149743709
111	0.6146072364
112	0.6143697707
113	0.6141219372
114	0.6138479711
115	0.6135191834
116	0.6132162442
117	0.6129480301
118	0.6125436141
119	0.6121465834
120	0.6118241157
121	0.6114834689
122	0.6113694939
123	0.6110915511
124	0.6108128982
125	0.6105174863
126	0.6100623674
127	0.609746859
128	0.6094924213
129	0.6092259115
130	0.6088147493
131	0.6085600986
132	0.6082352166
133	0.6079145953
134	0.607736496
135	0.6074609676
136	0.6071090298
137	0.6068172396
138	0.6067921722
139	0.6064057224
140	0.6061123698
141	0.6058596365
142	0.6055740953
143	0.6052639839
144	0.6049964089
145	0.6047741399
146	0.6045359641
147	0.6042993505
148	0.6038967098
149	0.6038141933
150	0.6037857883
151	0.6033824375
152	0.6030944819
153	0.6029711333
154	0.6028817996
155	0.6026816865
156	0.6023989148
157	0.6021841731
158	0.6021810486
159	0.6019911612
160	0.6017411973
161	0.6014631125
162	0.6012529156
163	0.6009638948
164	0.6006770045
165	0.6003590106
166	0.6000442834
167	0.5998342285
168	0.5996106812
169	0.5993788965
170	0.5990992494
171	0.5989171025
172	0.5985885988
173	0.5983852901
174	0.5981586183
175	0.5979451548
176	0.5977122339
177	0.5974911721
178	0.5972537774
179	0.5969360676
180	0.5966565625
181	0.5963725837
182	0.5963240822
183	0.5961850397
184	0.5961664345
185	0.5957741616
186	0.5956860706
187	0.5955472413
188	0.5953028874
189	0.5951238649
190	0.5948064392
191	0.5944630584
192	0.5941892343
193	0.5939364299
194	0.5939222274
195	0.5937049293
