iter	Passed	Remaining
406	5231	7622
407	5245	7610
408	5257	7596
409	5269	7582
410	5281	7569
411	5293	7555
412	5306	7542
413	5319	7529
414	5331	7515
415	5344	7502
416	5356	7488
417	5368	7474
418	5380	7460
419	5394	7449
420	5406	7435
421	5418	7421
422	5432	7409
423	5444	7396
424	5456	7382
425	5469	7369
426	5481	7355
427	5493	7342
428	5506	7329
429	5520	7317
430	5533	7304
431	5545	7291
432	5557	7277
433	5569	7264
434	5581	7249
435	5593	7235
436	5607	7224
437	5619	7210
438	5632	7197
439	5645	7185
440	5657	7171
441	5669	7157
442	5681	7144
443	5696	7133
444	5709	7120
445	5721	7107
446	5737	7097
447	5750	7084
448	5762	7071
449	5775	7058
450	5788	7045
451	5801	7033
452	5816	7022
453	5831	7013
454	5845	7001
455	5859	6990
456	5874	6979
457	5887	6967
458	5900	6954
459	5914	6943
460	5928	6931
461	5941	6918
462	5954	6906
463	5967	6893
464	5981	6881
465	5994	6869
466	6010	6859
467	6022	6846
468	6036	6834
469	6050	6822
470	6062	6809
471	6076	6796
472	6087	6782
473	6100	6770
474	6113	6756
475	6126	6743
476	6138	6730
477	6151	6717
478	6164	6704
479	6176	6690
480	6187	6676
481	6201	6664
482	6213	6650
483	6225	6636
484	6237	6623
485	6250	6610
486	6261	6595
487	6273	6582
488	6285	6568
489	6298	6555
490	6309	6541
491	6323	6529
492	6335	6515
493	6347	6501
494	6360	6488
495	6372	6475
496	6384	6461
497	6397	6448
498	6409	6435
499	6422	6422
500	6434	6408
501	6448	6396
502	6459	6382
503	6472	6369
504	6485	6356
505	6497	6343
506	6509	6330
507	6523	6317
508	6536	6305
509	6548	6291
510	6560	6278
511	6574	6265
512	6586	6252
513	6599	6240
514	6612	6227
515	6624	6213
516	6635	6199
517	6647	6185
518	6659	6172
519	6672	6159
520	6685	6146
521	6697	6133
522	6710	6119
523	6722	6106
524	6734	6093
525	6746	6079
526	6758	6065
527	6771	6053
528	6783	6039
529	6795	6026
530	6808	6013
531	6821	6001
532	6834	5987
533	6845	5974
534	6859	5961
535	6870	5947
536	6882	5934
537	6894	5920
538	6907	5908
539	6921	5896
540	6935	5884
541	6947	5870
542	6959	5857
543	6970	5842
544	6983	5829
545	6995	5816
546	7007	5803
547	7019	5790
548	7032	5776
549	7044	5763
550	7055	5749
551	7067	5736
552	7079	5722
553	7092	5709
554	7105	5696
555	7117	5684
556	7129	5670
557	7142	5657
558	7155	5645
559	7167	5631
560	7179	5618
561	7191	5604
562	7203	5591
563	7215	5578
564	7227	5564
565	7239	5550
566	7250	5537
567	7262	5523
568	7275	5511
569	7288	5498
570	7300	5485
571	7313	5471
572	7327	5460
573	7340	5447
574	7351	5434
575	7363	5420
576	7376	5407
577	7389	5395
578	7401	5381
579	7414	5369
580	7426	5355
581	7437	5341
582	7449	5328
583	7462	5315
584	7473	5301
585	7485	5288
586	7497	5275
587	7509	5261
588	7523	5249
589	7535	5236
590	7547	5223
591	7560	5210
592	7573	5197
593	7585	5184
594	7596	5170
595	7609	5158
596	7621	5144
597	7633	5131
598	7647	5119
599	7660	5106
600	7672	5093
601	7683	5079
602	7698	5068
603	7711	5055
604	7724	5043
605	7737	5030
606	7748	5016
607	7760	5003
608	7773	4990
609	7786	4977
610	7799	4965
611	7811	4952
612	7824	4939
613	7836	4926
614	7847	4912
615	7860	4899
616	7872	4886
617	7884	4873
618	7897	4861
619	7911	4849
620	7924	4836
621	7938	4824
622	7953	4812
623	7966	4800
624	7978	4787
625	7989	4773
626	8001	4760
627	8014	4747
628	8026	4734
629	8038	4721
630	8051	4708
631	8063	4695
632	8075	4681
633	8088	4669
634	8101	4656
635	8111	4642
636	8123	4629
637	8136	4616
638	8147	4602
639	8158	4589
640	8172	4577
641	8185	4564
642	8197	4551
643	8210	4538
644	8221	4524
645	8232	4511
646	8244	4498
647	8258	4485
648	8269	4472
649	8282	4460
650	8295	4447
651	8308	4434
652	8319	4421
653	8333	4409
654	8348	4397
655	8359	4383
656	8372	4371
657	8385	4358
658	8397	4345
659	8410	4332
660	8423	4320
661	8435	4307
662	8447	4293
663	8460	4281
664	8472	4268
665	8486	4255
666	8497	4242
667	8509	4229
668	8522	4216
669	8534	4203
670	8547	4190
671	8560	4178
672	8573	4165
673	8587	4153
674	8599	4140
675	8612	4127
676	8626	4115
677	8640	4103
678	8655	4091
679	8668	4079
680	8682	4067
681	8696	4054
682	8709	4042
683	8721	4029
684	8735	4016
685	8747	4004
686	8760	3991
687	8771	3977
688	8783	3964
689	8797	3952
690	8809	3939
691	8821	3926
692	8835	3913
693	8848	3901
694	8861	3888
695	8875	3876
696	8887	3863
697	8901	3851
698	8914	3838
699	8926	3825
700	8938	3812
701	8949	3799
702	8962	3786
703	8975	3773
704	8987	3760
705	9000	3748
706	9013	3735
707	9026	3722
708	9039	3710
709	9053	3697
710	9066	3685
711	9078	3672
712	9090	3659
713	9102	3646
714	9115	3633
715	9129	3621
716	9141	3608
717	9153	3595
718	9164	3581
719	9176	3568
720	9189	3556
721	9201	3543
722	9213	3529
723	9226	3517
724	9237	3504
725	9249	3490
726	9264	3478
727	9275	3465
728	9287	3452
729	9299	3439
730	9312	3426
731	9324	3413
732	9336	3400
733	9349	3388
734	9361	3375
735	9373	3362
736	9385	3349
737	9397	3336
738	9408	3322
739	9420	3310
740	9432	3297
741	9445	3284
742	9456	3271
743	9468	3258
744	9481	3245
745	9492	3232
746	9505	3219
747	9516	3206
748	9529	3193
749	9541	3180
750	9554	3167
751	9566	3154
752	9576	3141
753	9589	3128
754	9602	3115
755	9614	3103
756	9627	3090
757	9639	3077
758	9650	3064
759	9662	3051
760	9675	3038
761	9688	3026
762	9702	3013
763	9714	3000
764	9726	2987
765	9739	2975
766	9753	2962
767	9766	2950
768	9779	2937
769	9791	2924
770	9804	2911
771	9815	2898
772	9827	2886
773	9839	2872
774	9852	2860
775	9865	2847
776	9878	2835
777	9893	2822
778	9906	2810
779	9921	2798
780	9934	2785
781	9945	2772
782	9956	2759
783	9967	2746
784	9980	2733
785	9991	2720
786	10004	2707
787	10015	2694
788	10027	2681
789	10039	2668
790	10051	2655
791	10064	2643
792	10078	2630
793	10092	2618
794	10104	2605
795	10117	2592
796	10129	2580
797	10141	2567
798	10154	2554
799	10166	2541
800	10179	2528
801	10191	2516
802	10203	2503
803	10215	2490
804	10227	2477
805	10239	2464
806	10250	2451
807	10262	2438
808	10275	2425
809	10286	2412
810	10298	2400
811	10311	2387
812	10325	2374
813	10337	2362
814	10350	2349
815	10362	2336
816	10373	2323
817	10387	2311
818	10400	2298
819	10412	2285
820	10425	2272
821	10438	2260
822	10451	2247
823	10464	2235
824	10477	2222
825	10488	2209
826	10499	2196
827	10511	2183
828	10523	2170
829	10535	2157
830	10547	2144
831	10561	2132
832	10574	2119
833	10585	2106
834	10597	2094
835	10610	2081
836	10621	2068
837	10634	2055
838	10647	2043
839	10659	2030
840	10672	2017
841	10684	2004
842	10698	1992
843	10709	1979
844	10723	1966
845	10735	1954
846	10748	1941
847	10760	1928
848	10772	1915
849	10783	1902
850	10794	1890
851	10806	1877
852	10819	1864
853	10830	1851
854	10843	1838
855	10856	1826
856	10869	1813
857	10884	1801
858	10897	1788
859	10909	1775
860	10921	1763
861	10933	1750
862	10945	1737
863	10957	1724
864	10968	1711
865	10980	1699
866	10992	1686
867	11004	1673
868	11017	1660
869	11030	1648
870	11043	1635
871	11055	1622
872	11068	1610
873	11081	1597
874	11092	1584
875	11104	1571
876	11118	1559
877	11131	1546
878	11145	1534
879	11159	1521
880	11173	1509
881	11186	1496
882	11198	1483
883	11210	1471
884	11223	1458
885	11237	1445
886	11249	1433
887	11261	1420
888	11274	1407
889	11285	1394
890	11297	1382
891	11308	1369
892	11319	1356
893	11331	1343
894	11342	1330
895	11356	1318
896	11370	1305
897	11384	1293
898	11397	1280
899	11409	1267
900	11421	1254
901	11433	1242
902	11447	1229
903	11460	1216
904	11473	1204
905	11486	1191
906	11498	1179
907	11513	1166
908	11525	1153
909	11537	1141
910	11550	1128
911	11563	1115
912	11576	1103
913	11587	1090
914	11599	1077
915	11612	1064
916	11624	1052
917	11637	1039
918	11649	1026
919	11661	1014
920	11673	1001
921	11686	988
922	11701	976
923	11714	963
924	11725	950
925	11738	938
926	11750	925
927	11762	912
928	11775	899
929	11788	887
930	11800	874
931	11812	861
932	11824	849
933	11835	836
934	11847	823
935	11859	810
936	11872	798
937	11885	785
938	11899	773
939	11912	760
940	11925	747
941	11937	734
942	11949	722
943	11960	709
944	11973	696
945	11985	684
946	11999	671
947	12011	658
948	12023	646
949	12034	633
950	12046	620
951	12058	608
952	12071	595
953	12083	582
954	12095	569
955	12108	557
956	12121	544
957	12133	531
958	12145	519
959	12158	506
960	12170	493
961	12182	481
962	12194	468
963	12206	455
964	12219	443
965	12231	430
966	12243	417
967	12255	405
968	12267	392
969	12279	379
970	12291	367
971	12305	354
972	12318	341
973	12330	329
974	12341	316
975	12353	303
976	12365	291
977	12377	278
978	12389	265
979	12402	253
980	12416	240
981	12428	227
982	12440	215
983	12452	202
984	12464	189
985	12477	177
986	12489	164
987	12503	151
988	12515	139
989	12526	126
990	12538	113
991	12551	101
992	12565	88
993	12578	75
994	12591	63
995	12603	50
996	12616	37
997	12629	25
998	12640	12
999	12652	0
