iter	RMSE
0	0.384695369
1	0.3689097172
2	0.3540455928
3	0.3401542035
4	0.3273746345
5	0.3152938206
6	0.30395726
7	0.2927136712
8	0.2815872669
9	0.271207706
10	0.2620241733
11	0.2526882397
12	0.2444391665
13	0.2361358304
14	0.2280432645
15	0.2204580486
16	0.2138125873
17	0.2072388396
18	0.2013720434
19	0.1958424792
20	0.1903494411
21	0.1849213307
22	0.1801572838
23	0.1755735851
24	0.1713730494
25	0.1674016443
26	0.1635366562
27	0.1597481409
28	0.1566129044
29	0.1534481235
30	0.1505076558
31	0.1476927416
32	0.1451085277
33	0.1428263505
34	0.1404654966
35	0.1382277352
36	0.1363459279
37	0.1344846754
38	0.1326449875
39	0.1309427173
40	0.129225353
41	0.1278824124
42	0.1265681377
43	0.125253208
44	0.1241308104
45	0.122876699
46	0.1218181875
47	0.1205981311
48	0.1196548078
49	0.118680464
50	0.1178072348
51	0.1169056812
52	0.1161610238
53	0.1154338683
54	0.114758121
55	0.1140571461
56	0.1133673718
57	0.1127899668
58	0.1123336842
59	0.1117900546
60	0.1113343993
61	0.1109127166
62	0.1104935436
63	0.1101111834
64	0.1096921479
65	0.1093273115
66	0.1089656752
67	0.1086934694
68	0.1083001994
69	0.1079568811
70	0.1076604517
71	0.1074018167
72	0.1070883572
73	0.1068130393
74	0.1064366878
75	0.1061455909
76	0.1059556069
77	0.1057608383
78	0.1055468458
79	0.1053313354
80	0.1050467484
81	0.1048285594
82	0.1044977098
83	0.1042665336
84	0.1040808768
85	0.1039089243
86	0.1035930267
87	0.1034263523
88	0.1032158106
89	0.1030522797
90	0.1029556156
91	0.102781519
92	0.1026463543
93	0.1023046616
94	0.1020930184
95	0.1019087276
96	0.1018047255
97	0.1016074506
98	0.1014840837
99	0.1014147334
100	0.1013098416
101	0.1012213879
102	0.101078633
103	0.100972298
104	0.1008202913
105	0.1007180565
106	0.1005844451
107	0.1004902323
108	0.100391771
109	0.1003271574
110	0.1001872724
111	0.09993579348
112	0.09973669489
113	0.09964472324
114	0.09946644597
115	0.09942064676
116	0.09928701194
117	0.09918887595
118	0.09903167953
119	0.09888771706
120	0.09883350881
121	0.09865104928
122	0.09858973293
123	0.09849815177
124	0.09843893113
125	0.0983803414
126	0.09831379797
127	0.09825182183
128	0.09816954816
129	0.09806254619
130	0.09799703712
131	0.09799192313
132	0.0978523146
133	0.09777578297
134	0.09761986975
135	0.09750763923
136	0.09740556498
137	0.09734517031
138	0.09729695281
139	0.09722947323
140	0.09715593183
141	0.09709290526
142	0.09702814659
143	0.0969976851
144	0.09685431489
145	0.09676188163
146	0.09667813844
147	0.09663563513
148	0.09657647219
149	0.09646783522
150	0.09636883615
151	0.09631943964
152	0.09624284141
153	0.09618162118
154	0.09609431148
155	0.09598878276
156	0.09590857706
157	0.0958341671
158	0.09576839619
159	0.09570880617
160	0.09565732692
161	0.09557989902
162	0.09547744744
163	0.09539921391
164	0.09533354622
165	0.09526882239
166	0.09524077534
167	0.09520740187
168	0.09514477105
169	0.09508447152
170	0.09503937621
171	0.0950217892
172	0.09493670025
173	0.09489474654
174	0.09483160926
175	0.09477022057
176	0.09468759556
177	0.09461024675
178	0.09454369561
179	0.0945100356
180	0.0943509643
181	0.09432025214
182	0.09426143483
183	0.09424630419
184	0.0941617081
185	0.09403957545
186	0.09403266685
187	0.09400561815
188	0.09395683228
189	0.09392211996
190	0.09386556676
191	0.0937958749
192	0.09370774684
193	0.09358875309
194	0.09349213893
195	0.09343726492
196	0.09334314496
197	0.09330482437
198	0.09325437721
199	0.09321690621
200	0.09313820327
201	0.09307900333
202	0.09302277064
203	0.09298531548
204	0.09298144319
205	0.09287830464
206	0.09280717616
207	0.09274477227
208	0.09269910305
209	0.09265098635
210	0.09261031818
211	0.09251677542
212	0.09242207124
213	0.09236563165
214	0.09231639729
215	0.09226667581
216	0.09222389591
217	0.0921828207
218	0.09211985885
219	0.09203892203
220	0.0919910168
221	0.09192803335
222	0.09189031912
223	0.09181059504
224	0.09175245898
225	0.09168238077
226	0.09164701123
227	0.09157352972
228	0.09154649431
229	0.09148683682
230	0.0914059587
231	0.09135180103
232	0.0912605909
233	0.09120726964
234	0.091158314
235	0.09109061656
236	0.09105818457
237	0.09098973807
238	0.09094737006
239	0.09086247391
240	0.09080876776
241	0.09077642746
242	0.09068830052
243	0.09063648353
244	0.09058259481
245	0.09055005503
246	0.09051735157
247	0.09047846634
248	0.090426019
249	0.09037648178
250	0.09033236495
251	0.09029306283
252	0.09022936631
253	0.09020475517
254	0.09017133443
255	0.09013516668
256	0.09007814942
257	0.09002387035
258	0.08995711868
259	0.08990324228
260	0.08981780193
261	0.08974895346
262	0.08972295201
263	0.08968595634
264	0.08965290968
265	0.08961902819
266	0.08959324516
267	0.08954758414
268	0.08952898465
269	0.08947603264
270	0.08942377788
271	0.08937580514
272	0.08935905511
273	0.08934219025
274	0.08932361707
275	0.08930086154
276	0.08926927983
277	0.08923257792
278	0.08920416908
279	0.08918013876
280	0.08914503306
281	0.08911640314
282	0.08908931061
283	0.08904532756
284	0.08897954243
285	0.08891689849
286	0.08889161563
287	0.08883826431
288	0.08878417355
289	0.08875220602
290	0.08872740771
291	0.08870622906
292	0.08862157846
293	0.08859924041
294	0.0885832842
295	0.08855818098
296	0.0884964836
297	0.08845404168
298	0.08842430882
299	0.08840131688
300	0.08838753011
301	0.088354722
302	0.08833720007
303	0.08825670211
304	0.08818874589
305	0.08813418322
306	0.0880879807
307	0.0880661461
308	0.08804897537
309	0.08801589788
310	0.08797855536
311	0.08794678578
312	0.0879110104
313	0.08789877064
314	0.0878674057
315	0.08784050765
316	0.08781720356
317	0.08780601108
318	0.08779061604
319	0.08773781348
320	0.08770844924
321	0.08763548566
322	0.08761378022
323	0.08759125342
324	0.08751035206
325	0.08747237085
326	0.08741954801
327	0.08739908335
328	0.08738572611
329	0.08735505895
330	0.08733584414
331	0.08731768397
332	0.08725298667
333	0.08720372346
334	0.08717235984
335	0.08708736271
336	0.08706402732
337	0.08704611734
338	0.08701849916
339	0.08700121602
340	0.08692913718
341	0.08687843155
342	0.08685301991
343	0.08677492231
344	0.08673607273
345	0.08672101921
346	0.08668200477
347	0.08665291061
348	0.08663608621
349	0.08659685623
350	0.08657607007
351	0.08652973878
352	0.08651153872
353	0.08646080722
354	0.08644105748
355	0.08640439866
356	0.08634845424
357	0.08632561082
358	0.08629834655
359	0.08626223871
360	0.08619152506
361	0.08613521276
362	0.08610284428
363	0.08606984618
364	0.08601698945
365	0.08598985508
366	0.0859778271
367	0.08596552587
368	0.08595421935
369	0.08588978083
370	0.0858440744
371	0.08582856703
372	0.08581685153
373	0.08580283581
374	0.08577459617
375	0.08574378925
376	0.08572879927
377	0.08568932019
378	0.0856638586
379	0.08561421189
380	0.08555580837
381	0.08551586673
382	0.08549373371
383	0.08543870233
384	0.08537849327
385	0.08532148958
386	0.0852958921
387	0.08528224949
388	0.08523670583
389	0.08516462601
390	0.08514188149
391	0.08509266905
392	0.08506453885
393	0.08504201609
394	0.08501671231
395	0.08499307948
396	0.08497192692
397	0.08492160763
398	0.08490092515
399	0.08489027563
400	0.08485185977
401	0.08480067788
402	0.08478588919
403	0.08475259321
404	0.08469902693
405	0.0846751825
406	0.08464543314
407	0.08463462376
408	0.08459133086
409	0.08456655307
410	0.08453218717
411	0.08448404887
412	0.08445418093
413	0.0844228314
414	0.08440396142
415	0.08438835654
416	0.08431922483
417	0.08431183455
418	0.08428925104
419	0.08425915192
420	0.08424535876
421	0.08423141504
422	0.08419287834
423	0.08415784816
424	0.08411898985
425	0.08410153349
426	0.08408727596
427	0.08406110878
428	0.08403897728
429	0.08400519026
430	0.0839715219
431	0.08396326884
432	0.08391624959
433	0.08390286945
434	0.08387981526
435	0.08386198623
436	0.0838277956
437	0.08380402594
438	0.0837461171
439	0.08373157825
440	0.08368025315
441	0.0836487431
442	0.08363720491
443	0.0836022038
444	0.08355502068
445	0.08351892238
446	0.08349100037
447	0.08347955701
448	0.08344921482
449	0.08342639092
450	0.08337680037
451	0.08336608686
452	0.08335530137
453	0.08334060982
454	0.08333191233
455	0.08329131876
456	0.08327019402
457	0.08322803989
458	0.08319527885
459	0.08317704406
460	0.08316066266
461	0.08310485357
462	0.08307481071
463	0.08306368105
464	0.08301830961
465	0.08300772954
466	0.08298668741
467	0.08294165137
468	0.0829215926
469	0.082905301
470	0.08287374208
471	0.08282894867
472	0.0828068576
473	0.08277339268
474	0.08272826124
475	0.08269025627
476	0.08268236712
