iter	Passed	Remaining
425	2831	491
426	2837	485
427	2844	478
428	2850	471
429	2857	465
430	2863	458
431	2870	451
432	2877	445
433	2884	438
434	2890	431
435	2897	425
436	2903	418
437	2909	411
438	2916	405
439	2922	398
440	2928	391
441	2935	385
442	2941	378
443	2948	371
444	2955	365
445	2961	358
446	2967	351
447	2974	345
448	2980	338
449	2987	331
450	2993	325
451	2999	318
452	3006	311
453	3012	305
454	3018	298
455	3025	291
456	3031	285
457	3039	278
458	3045	272
459	3052	265
460	3058	258
461	3064	252
462	3071	245
463	3077	238
464	3085	232
465	3092	225
466	3099	218
467	3105	212
468	3111	205
469	3117	199
470	3123	192
471	3131	185
472	3137	179
473	3143	172
474	3150	165
475	3156	159
476	3163	152
477	3169	145
478	3176	139
479	3183	132
480	3189	125
481	3196	119
482	3202	112
483	3208	106
484	3215	99
485	3221	92
486	3228	86
487	3234	79
488	3241	72
489	3247	66
490	3253	59
491	3259	53
492	3266	46
493	3272	39
494	3279	33
495	3285	26
496	3292	19
497	3298	13
498	3304	6
499	3311	0
